GROUP	PROJECT_PATH	SOURCE_PATH	PROJECT_SIZE	SOURCE_SIZE	SHA256_EQUAL
Mannequins	Content/Characters/Mannequins/Anims/Rifle/AIM/MM_Rifle_Idle_ADS_AO_CD.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\AIM\MM_Rifle_Idle_ADS_AO_CD.uasset	94882	94882	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/AIM/MM_Rifle_Idle_ADS_AO_CU.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\AIM\MM_Rifle_Idle_ADS_AO_CU.uasset	95154	95154	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Back_Med_01.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Back_Med_01.uasset	252342	252342	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Hvy_01.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Hvy_01.uasset	247961	247961	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Lgt_01.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Lgt_01.uasset	224756	224756	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Lgt_02.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Lgt_02.uasset	238345	238345	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Lgt_03.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Lgt_03.uasset	281622	281622	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Lgt_04.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Lgt_04.uasset	318893	318893	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Med_01.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Med_01.uasset	225043	225043	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Med_02.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\HitReact\MM_HitReact_Front_Med_02.uasset	234402	234402	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Bwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Bwd_Left.uasset	458365	458365	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Bwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Bwd_Right.uasset	458272	458272	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Bwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Bwd.uasset	582054	582054	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Fwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Fwd_Left.uasset	384314	384314	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Fwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Fwd_Right.uasset	384322	384322	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Fwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Fwd.uasset	516328	516328	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Left.uasset	296415	296415	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jog/MF_Rifle_Jog_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jog\MF_Rifle_Jog_Right.uasset	420984	420984	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_Apex.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_Apex.uasset	228355	228355	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_Fall_Land.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_Fall_Land.uasset	179028	179028	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_Fall_Loop.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_Fall_Loop.uasset	645680	645680	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_RecoveryAdditive.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_RecoveryAdditive.uasset	294517	294517	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_Start_Loop.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_Start_Loop.uasset	441727	441727	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Jump/MM_Rifle_Jump_Start.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Jump\MM_Rifle_Jump_Start.uasset	146783	146783	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Bwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Bwd_Left.uasset	332682	332682	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Bwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Bwd_Right.uasset	332577	332577	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Bwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Bwd.uasset	449720	449720	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Fwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Fwd_Left.uasset	384794	384794	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Fwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Fwd_Right.uasset	384793	384793	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Fwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Fwd.uasset	490267	490267	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Left.uasset	453120	453120	True
Mannequins	Content/Characters/Mannequins/Anims/Rifle/Walk/MF_Rifle_Walk_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Rifle\Walk\MF_Rifle_Walk_Right.uasset	510650	510650	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/ABP_Unarmed.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\ABP_Unarmed.uasset	385911	385911	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\BS_Idle_Walk_Run.uasset	52333	52333	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/MM_Idle.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\MM_Idle.uasset	1436554	1436554	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Bwd_Left.uasset	417528	417528	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Bwd_Right.uasset	417530	417530	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Bwd.uasset	483265	483265	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Fwd_Left.uasset	466995	466995	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Fwd_Right.uasset	467310	467310	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Fwd.uasset	531789	531789	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Left.uasset	487864	487864	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jog\MF_Unarmed_Jog_Right.uasset	521907	521907	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jump/MM_Fall_Loop.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jump\MM_Fall_Loop.uasset	925351	925351	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jump/MM_Jump.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jump\MM_Jump.uasset	403730	403730	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Jump/MM_Land.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Jump\MM_Land.uasset	410017	410017	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Bwd_Left.uasset	537758	537758	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Bwd_Right.uasset	537632	537632	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Bwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Bwd.uasset	606821	606821	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Fwd_Left.uasset	411535	411535	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Fwd_Right.uasset	411529	411529	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Fwd.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Fwd.uasset	475783	475783	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Left.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Left.uasset	486552	486552	True
Mannequins	Content/Characters/Mannequins/Anims/Unarmed/Walk/MF_Unarmed_Walk_Right.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Anims\Unarmed\Walk\MF_Unarmed_Walk_Right.uasset	491934	491934	True
Mannequins	Content/Characters/Mannequins/Materials/M_Mannequin.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Materials\M_Mannequin.uasset	59292	59292	True
Mannequins	Content/Characters/Mannequins/Materials/Manny/MI_Manny_01_New.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Materials\Manny\MI_Manny_01_New.uasset	17963	17963	True
Mannequins	Content/Characters/Mannequins/Materials/Manny/MI_Manny_02_New.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Materials\Manny\MI_Manny_02_New.uasset	18706	18706	True
Mannequins	Content/Characters/Mannequins/Materials/Quinn/MI_Quinn_01.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Materials\Quinn\MI_Quinn_01.uasset	11184	11184	True
Mannequins	Content/Characters/Mannequins/Materials/Quinn/MI_Quinn_02.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Materials\Quinn\MI_Quinn_02.uasset	10718	10718	True
Mannequins	Content/Characters/Mannequins/Meshes/SK_Mannequin.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Meshes\SK_Mannequin.uasset	191198	191198	True
Mannequins	Content/Characters/Mannequins/Meshes/SKM_Manny_Simple.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Meshes\SKM_Manny_Simple.uasset	15825101	15825101	True
Mannequins	Content/Characters/Mannequins/Meshes/SKM_Quinn_Simple.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Meshes\SKM_Quinn_Simple.uasset	16252577	16252577	True
Mannequins	Content/Characters/Mannequins/Rigs/CR_Mannequin_Body.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Rigs\CR_Mannequin_Body.uasset	17057558	17057558	True
Mannequins	Content/Characters/Mannequins/Rigs/CR_Mannequin_FootIK.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Rigs\CR_Mannequin_FootIK.uasset	498698	498698	True
Mannequins	Content/Characters/Mannequins/Rigs/PA_Mannequin.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Rigs\PA_Mannequin.uasset	301538	301538	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_01_BN.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_01_BN.uasset	1422785	1422785	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_01_D.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_01_D.uasset	699555	699555	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_01_MRA.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_01_MRA.uasset	712594	712594	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_02_BN.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_02_BN.uasset	20999487	20999487	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_02_D.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_02_D.uasset	1036712	1036712	True
Mannequins	Content/Characters/Mannequins/Textures/Manny/T_Manny_02_MRA.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Manny\T_Manny_02_MRA.uasset	1059559	1059559	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_01_D.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_01_D.uasset	674768	674768	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_01_MRA.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_01_MRA.uasset	791597	791597	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_01_N.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_01_N.uasset	1263741	1263741	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_02_D.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_02_D.uasset	943331	943331	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_02_MRA.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_02_MRA.uasset	974099	974099	True
Mannequins	Content/Characters/Mannequins/Textures/Quinn/T_Quinn_02_N.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Quinn\T_Quinn_02_N.uasset	1524635	1524635	True
Mannequins	Content/Characters/Mannequins/Textures/Shared/T_UE_Logo_M.uasset	D:\UE_5.8\Templates\TemplateResources\High\Characters\Content\Mannequins\Textures\Shared\T_UE_Logo_M.uasset	59927	59927	True
Variant_Shooter	Content/Variant_Shooter/Lvl_ArenaShooter.ini	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Lvl_ArenaShooter.ini	792	792	True
Variant_Shooter	Content/Variant_Shooter/Lvl_ArenaShooter.umap	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Lvl_ArenaShooter.umap	12277	12277	True
Variant_Shooter	Content/Variant_Shooter/Anims/ABP_FP_Pistol.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\ABP_FP_Pistol.uasset	231575	231575	True
Variant_Shooter	Content/Variant_Shooter/Anims/ABP_FP_Weapon.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\ABP_FP_Weapon.uasset	231454	231454	True
Variant_Shooter	Content/Variant_Shooter/Anims/ABP_TP_Pistol.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\ABP_TP_Pistol.uasset	411714	411714	True
Variant_Shooter	Content/Variant_Shooter/Anims/ABP_TP_Rifle.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\ABP_TP_Rifle.uasset	414718	414718	True
Variant_Shooter	Content/Variant_Shooter/Anims/Ctrl_HandAdjusment_Pistol.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\Ctrl_HandAdjusment_Pistol.uasset	512901	512901	True
Variant_Shooter	Content/Variant_Shooter/Anims/Ctrl_HandAdjusment.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\Ctrl_HandAdjusment.uasset	513638	513638	True
Variant_Shooter	Content/Variant_Shooter/Anims/FP_Rifle_Shoot_Montage.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Anims\FP_Rifle_Shoot_Montage.uasset	11155	11155	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/BP_ShooterCharacter.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\BP_ShooterCharacter.uasset	541314	541314	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/BP_ShooterGameMode.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\BP_ShooterGameMode.uasset	149709	149709	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/BP_ShooterPlayerController.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\BP_ShooterPlayerController.uasset	167069	167069	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/BPI_Shooter.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\BPI_Shooter.uasset	23816	23816	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/BPI_Teammate.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\BPI_Teammate.uasset	13929	13929	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/BP_ShooterAIController.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\BP_ShooterAIController.uasset	78591	78591	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/BP_ShooterNPC.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\BP_ShooterNPC.uasset	349317	349317	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/BP_ShooterNPCSpawner.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\BP_ShooterNPCSpawner.uasset	110440	110440	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/ST_Shooter_ShootAtTarget.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\ST_Shooter_ShootAtTarget.uasset	107406	107406	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/ST_Shooter.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\ST_Shooter.uasset	234704	234704	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/EQS/EnvQueryContext_Target.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\EQS\EnvQueryContext_Target.uasset	31509	31509	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/EQS/EQS_FindRoamLocation.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\EQS\EQS_FindRoamLocation.uasset	9445	9445	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/EQS/EQS_FindSnipingLocation.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\EQS\EQS_FindSnipingLocation.uasset	14539	14539	True
Variant_Shooter	Content/Variant_Shooter/Blueprints/AI/StateTree/StateTreeCondition_HasLineOfSightToTarget.uasset	D:\UE_5.8\Templates\TemplateResources\Standard\Variant_Shooter\Content\Blueprints\AI\StateTree\StateTreeCondition_HasLineOfSightToTarget.uasset	170595	170595	True
