batch,index,file,source_original_name,width,height,bytes,sha256,caption
Batch_02_Investor_Deck_V2,1,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_01.jpeg,3248B909-C5B9-4796-BE71-A4E45BD2258D.jpeg,1536,864,499965,51358410a3048628f43862238d28caaea2e088aa421cea4d763ebe01edc73af9,"Refined cover: hero, tactical command map, helicopters, armored convoy, Jeddah framing."
Batch_02_Investor_Deck_V2,2,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_02.jpeg,F4E19F7E-F92E-48B8-AA88-18C6E69075BA.jpeg,1536,864,434154,b423ccf4124c759fb6192e6c30952bfbac865ee8027ac1e1c2130d6bb0f62697,Refined executive overview with command-table visual and strategic value blocks.
Batch_02_Investor_Deck_V2,3,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_03.jpeg,17C934F8-A96B-4084-A03E-72AAAE809399.jpeg,1536,864,478569,57f2f116b33c659fb0e1cfc447c6adbb864b5e29ff178963243bf13564289bfd,Refined world & story: coastal city under attack and emotional promise.
Batch_02_Investor_Deck_V2,4,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_04.jpeg,9D1BE9D2-EDCD-456C-A7D8-138D9AFC09CA.jpeg,1536,864,479019,99434c8a1f9ef49a3384f9e30d631681c6b504a31b30437c7069380fadaac2be,Refined gameplay loop and core player promise.
Batch_02_Investor_Deck_V2,5,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_05.jpeg,5016F1A7-38C5-43B2-906B-B0F8C9677C5A.jpeg,1536,864,563944,b3b7735984008e50ae6cba1eabe24865514ae45c4298ced5cd02af871283c30d,Refined missions & theater map with mission intelligence and environmental range.
Batch_02_Investor_Deck_V2,6,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_06.jpeg,70369053-D71B-4877-A751-6855F7BDA2F1.jpeg,1536,864,497774,56c9aceecbd1dfb2198de5164fcec57d63008488ca1607c68db226f4b553f3cc,Refined hero/squad/player psychology page; canonical hero and squad portraits.
Batch_02_Investor_Deck_V2,7,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_07.jpeg,9297309F-46BA-46B5-A3FC-860E5A97DD83.jpeg,1536,864,469597,ad1dee99859cc5c923a7cbe6543622313dcae26161f6f35350b3a6e5c56f9748,Refined market position and revenue model.
Batch_02_Investor_Deck_V2,8,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_08.jpeg,F066FA9C-2097-4452-B8C6-833FF3A6D5D2.jpeg,1536,864,410224,db5c66838cf020ad2ba9b12c777ef74bb20437040902e8cbb3084677e0cd97dd,Refined technology & platform stack.
Batch_02_Investor_Deck_V2,9,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_09.jpeg,ED7D992A-3457-4B31-9D4D-5D327B65FFDB.jpeg,1536,864,488925,250b1bdddbdb7d3d73f0ea501d87a539ec2df98cb78d127a0cb02a5198083c15,"Player science, social impact and cultural value."
Batch_02_Investor_Deck_V2,10,Reference/Visuals/Batch_02_Investor_Deck_V2/Batch_02_10.jpeg,1509E39F-AB4C-4035-870F-8B5C2704897F.jpeg,1536,864,498568,922e03e79d6c8eff7305a7c22b64f3bc04f23c5bc3b6a805b5089b6677d919a7,"Roadmap, go-to-market and partnership ask."
Batch_03_Gameplay_Visuals_V3,1,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_01.jpeg,1856BDC2-0B7E-4442-8FF0-293F353F0326.jpeg,1536,864,404587,63e22a6b6e3dc20e4a43686e68bacda98379a85e1451e9b9829fea7d914a6712,"Jeddah Port Assault: hero, squad, patrol boat, cranes, smoke, wet dock, missile trail."
Batch_03_Gameplay_Visuals_V3,2,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_02.jpeg,272500A9-E435-4D2B-AA34-FE085FF8CE5F.jpeg,1536,864,436247,2cbd2602b4d12b0f41742cf4562673c2265bd6d5aa647c16816a0947163c888d,Command Mech Reveal: squad facing a giant mechanized threat in an industrial hangar.
Batch_03_Gameplay_Visuals_V3,3,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_03.jpeg,8A4C7E28-8E26-4B33-8933-AD0787189C83.jpeg,1536,864,340479,164faf22499d64ea68f9b414897ae05dad2bcc7727821b0d9eecaa6e620ab909,Rooftop Recon: canonical hero overlooking a Red Sea coastal metropolis at blue hour.
Batch_03_Gameplay_Visuals_V3,4,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_04.jpeg,3D1C11E2-6A6C-4842-A9CA-7C1FA46BCFB6.jpeg,1536,864,455043,edbd80744fbc48e4d5ec00e1b4222b1fd8ca00c6704285dc86e1d339aa2b864e,"Highway Convoy War: armored 4x4 mounted-gun combat, hostile drones and convoy pursuit."
Batch_03_Gameplay_Visuals_V3,5,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_05.jpeg,E5CCD84E-BB38-4D32-845A-03AC84DF74FC.jpeg,1536,864,439996,054c6252f0579a6f4fa924447b85edf555ddbc2c3ac9c45dce4ed66a130d0b89,Civilian Evacuation: hero in cover while squad escorts civilians through urban combat.
Batch_03_Gameplay_Visuals_V3,6,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_06.jpeg,4D2D63AD-EF8D-4EB6-BC1D-DADABDD50192.jpeg,1536,864,319582,97f6ce3cfe555f1d9d3957ba81ac6e2c846d834540f941639f64415a0528e9ce,"Night Urban Push: hero and squad advancing through rain, debris and emergency response lighting."
Batch_03_Gameplay_Visuals_V3,7,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_07.jpeg,DF14D9AC-BE8A-4FC8-A397-EE4F850198A7.jpeg,1536,864,471730,7a1b3cc29ca4743a564b072e20d0d5c68f6dadd7d4fc4b7b5cb0bb0a97a5b65b,Corniche Gunship Attack: coastal infantry battle under helicopter pressure at sunset.
Batch_03_Gameplay_Visuals_V3,8,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_08.jpeg,09C75ED6-03AC-4B97-917C-E87F52B65ED0.jpeg,1536,864,450057,6514a758b99b870b79675b61263b6a31d5f482dd330809c21d2f3025482db3e3,Al-Balad Extraction: close-quarter old-city escort/clearance mission with civilian/scientist NPC.
Batch_03_Gameplay_Visuals_V3,9,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_09.jpeg,CB15BA4E-A72B-4F2E-B299-CC21FB12B29B.jpeg,1536,864,444923,d38e2f81a99d2f130fa74b41cf9324a51abdc4e194b12c8699a7c96f77383da9,Maritime Breach: flooded damaged offshore/ship interior with emergency red lighting.
Batch_03_Gameplay_Visuals_V3,10,Reference/Visuals/Batch_03_Gameplay_Visuals_V3/Batch_03_10.jpeg,9802D3A1-5B02-47C9-B0F3-F902BE1C23CA.jpeg,1536,864,365301,40ae1fa188566f13dfb35f99c27ec4c5bd9344123ee1281f0becc287c3652115,"Rooftop Insertion: rappel traversal, rooftop assault, drones and communications towers."
Batch_04_World_Conflict_V4,1,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_01.jpeg,A70BA15F-140D-4008-83B2-9BB6F8960DAB.jpeg,1536,864,496643,3e64ec8939effc14516721007838314215fc91fab96fe146b41c5745fb617570,Global War Command: circular strategic command center with live world map and drone/network overlays.
Batch_04_World_Conflict_V4,2,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_02.jpeg,F4DC7E26-2C55-4966-BA7E-404F79C1007E.jpeg,1536,864,364474,2676d1fc18babda1bffa15042f2f26fed43fab7b285c9f5673a0159c461cc521,Carrier / Naval Assault: helicopter insertion toward a large naval platform in rough seas.
Batch_04_World_Conflict_V4,3,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_03.jpeg,DFBF14B9-0916-4EBF-9450-89C6B09081B4.jpeg,1536,864,302610,2c00bf8b86143338594b223aece11d0583a030d4834f473f0155ba538a4ff4ea,Scientific Facility Rescue: black-clad operators protecting scientists/civilians in a high-rise laboratory.
Batch_04_World_Conflict_V4,4,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_04.jpeg,4EF30359-48A2-4475-9C3B-0A05E84513FC.jpeg,1536,864,421356,9d88138c259f94ae167315d037f10004a1dd7a22df4bd9b743dbf457a9f186c2,Offshore Platform Destruction: helicopter extraction/approach over a burning Red Sea installation.
Batch_04_World_Conflict_V4,5,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_05.jpeg,A52DA564-4E5B-4DC9-930C-4D998EAE7AA5.jpeg,1536,864,366447,cd0d4f2afa4eca5eb3f682ae6b8dcfdcc5a978b8b17da17771cae579e6b92d76,Offshore Night Infiltration: RHIB team approaching a rain-soaked hostile industrial platform.
Batch_04_World_Conflict_V4,6,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_06.jpeg,A37284AE-E606-4021-9BAC-22BEDDAC9858.jpeg,1536,864,292867,4801c253b9c1a2e5bcd9bca22a93f60df8cbea00df1745b953306b072d5299e9,Civilian Crisis Perspective: Jeddah waterfront traffic and citizens observing distant destruction.
Batch_04_World_Conflict_V4,7,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_07.jpeg,8660847B-10A5-4EF8-B88F-F929B81C3037.jpeg,1536,864,286014,1e2e51857988093e4f9afa04e8351f2d97797da31abbaa4520aa3a7c0f071cb3,"Citywide Shock: civilian crowd, traffic and damaged skyline under a dark emergency atmosphere."
Batch_04_World_Conflict_V4,8,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_08.jpeg,A141FF81-503A-4085-A2AC-2110DD058D5E.jpeg,1536,864,504663,49bfbeb52f4b725f2e3e1c4030546cf7f54c3c58efa436675dd184c2c97ac5d1,"Network Core / The Grid: strategic cyber-physical network visualization linking satellites, fleets and nodes."
Batch_04_World_Conflict_V4,9,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_09.jpeg,C0967757-5BD2-47C6-99B6-41B0090E6E39.jpeg,1536,864,328274,af45428a4ae21a789903604cea7bfae76b025a3bc80ace4e0bb1bb8a01a6d43f,Strategic Antagonist concept: controlled civilian strategist framed by hostile red network visualization.
Batch_04_World_Conflict_V4,10,Reference/Visuals/Batch_04_World_Conflict_V4/Batch_04_10.jpeg,B4BA9E59-C6C9-4807-AB76-7223E0C679CD.jpeg,864,1536,430017,68900abb900d657e6c7ec39e585dc394e9f147d6c28c83bd8b51cb3de8e14f3c,Canonical full-body hero key art: tactical walk through a damaged urban corridor with squad support.
